row,col,x,y,size,order
0,0,-40.0,40.0,2.0,
0,1,-38.0,40.0,2.0,
0,2,-36.0,40.0,2.0,
0,3,-34.0,40.0,2.0,
0,4,-32.0,40.0,2.0,
0,5,-30.0,40.0,2.0,
0,6,-28.0,40.0,2.0,
0,7,-26.0,40.0,2.0,
0,8,-24.0,40.0,2.0,
0,9,-22.0,40.0,2.0,
0,10,-20.0,40.0,2.0,
0,11,-18.0,40.0,2.0,
0,12,-16.0,40.0,2.0,
0,13,-14.0,40.0,2.0,
0,14,-12.0,40.0,2.0,
0,15,-10.0,40.0,2.0,
0,16,-8.0,40.0,2.0,
0,17,-6.0,40.0,2.0,
0,18,-4.0,40.0,2.0,
0,19,-2.0,40.0,2.0,
0,20,0.0,40.0,2.0,
0,21,2.0,40.0,2.0,
0,22,4.0,40.0,2.0,
0,23,6.0,40.0,2.0,
0,24,8.0,40.0,2.0,
0,25,10.0,40.0,2.0,
0,26,12.0,40.0,2.0,
0,27,14.0,40.0,2.0,
0,28,16.0,40.0,2.0,
0,29,18.0,40.0,2.0,
0,30,20.0,40.0,2.0,
0,31,22.0,40.0,2.0,
0,32,24.0,40.0,2.0,
0,33,26.0,40.0,2.0,
0,34,28.0,40.0,2.0,
0,35,30.0,40.0,2.0,
0,36,32.0,40.0,2.0,
0,37,34.0,40.0,2.0,
0,38,36.0,40.0,2.0,
0,39,38.0,40.0,2.0,
1,0,-40.0,38.0,2.0,
1,1,-38.0,38.0,2.0,
1,2,-36.0,38.0,2.0,
1,3,-34.0,38.0,2.0,
1,4,-32.0,38.0,2.0,
1,5,-30.0,38.0,2.0,
1,6,-28.0,38.0,2.0,
1,7,-26.0,38.0,2.0,
1,8,-24.0,38.0,2.0,
1,9,-22.0,38.0,2.0,
1,10,-20.0,38.0,2.0,
1,11,-18.0,38.0,2.0,
1,12,-16.0,38.0,2.0,
1,13,-14.0,38.0,2.0,
1,14,-12.0,38.0,2.0,
1,15,-10.0,38.0,2.0,
1,16,-8.0,38.0,2.0,
1,17,-6.0,38.0,2.0,
1,18,-4.0,38.0,2.0,
1,19,-2.0,38.0,2.0,
1,20,0.0,38.0,2.0,
1,21,2.0,38.0,2.0,
1,22,4.0,38.0,2.0,
1,23,6.0,38.0,2.0,
1,24,8.0,38.0,2.0,
1,25,10.0,38.0,2.0,
1,26,12.0,38.0,2.0,
1,27,14.0,38.0,2.0,
1,28,16.0,38.0,2.0,
1,29,18.0,38.0,2.0,
1,30,20.0,38.0,2.0,
1,31,22.0,38.0,2.0,
1,32,24.0,38.0,2.0,
1,33,26.0,38.0,2.0,
1,34,28.0,38.0,2.0,
1,35,30.0,38.0,2.0,
1,36,32.0,38.0,2.0,
1,37,34.0,38.0,2.0,
1,38,36.0,38.0,2.0,
1,39,38.0,38.0,2.0,
2,0,-40.0,36.0,2.0,
2,1,-38.0,36.0,2.0,
2,2,-36.0,36.0,2.0,
2,3,-34.0,36.0,2.0,
2,4,-32.0,36.0,2.0,
2,5,-30.0,36.0,2.0,
2,6,-28.0,36.0,2.0,
2,7,-26.0,36.0,2.0,
2,8,-24.0,36.0,2.0,
2,9,-22.0,36.0,2.0,
2,10,-20.0,36.0,2.0,
2,11,-18.0,36.0,2.0,
2,12,-16.0,36.0,2.0,
2,13,-14.0,36.0,2.0,
2,14,-12.0,36.0,2.0,
2,15,-10.0,36.0,2.0,
2,16,-8.0,36.0,2.0,
2,17,-6.0,36.0,2.0,
2,18,-4.0,36.0,2.0,
2,19,-2.0,36.0,2.0,
2,20,0.0,36.0,2.0,
2,21,2.0,36.0,2.0,
2,22,4.0,36.0,2.0,
2,23,6.0,36.0,2.0,
2,24,8.0,36.0,2.0,
2,25,10.0,36.0,2.0,
2,26,12.0,36.0,2.0,
2,27,14.0,36.0,2.0,
2,28,16.0,36.0,2.0,
2,29,18.0,36.0,2.0,
2,30,20.0,36.0,2.0,
2,31,22.0,36.0,2.0,
2,32,24.0,36.0,2.0,
2,33,26.0,36.0,2.0,
2,34,28.0,36.0,2.0,
2,35,30.0,36.0,2.0,
2,36,32.0,36.0,2.0,
2,37,34.0,36.0,2.0,0
2,38,36.0,36.0,2.0,
2,39,38.0,36.0,2.0,
3,0,-40.0,34.0,2.0,
3,1,-38.0,34.0,2.0,
3,2,-36.0,34.0,2.0,
3,3,-34.0,34.0,2.0,
3,4,-32.0,34.0,2.0,
3,5,-30.0,34.0,2.0,
3,6,-28.0,34.0,2.0,
3,7,-26.0,34.0,2.0,
3,8,-24.0,34.0,2.0,
3,9,-22.0,34.0,2.0,
3,10,-20.0,34.0,2.0,
3,11,-18.0,34.0,2.0,
3,12,-16.0,34.0,2.0,
3,13,-14.0,34.0,2.0,
3,14,-12.0,34.0,2.0,
3,15,-10.0,34.0,2.0,
3,16,-8.0,34.0,2.0,
3,17,-6.0,34.0,2.0,
3,18,-4.0,34.0,2.0,
3,19,-2.0,34.0,2.0,
3,20,0.0,34.0,2.0,
3,21,2.0,34.0,2.0,
3,22,4.0,34.0,2.0,
3,23,6.0,34.0,2.0,
3,24,8.0,34.0,2.0,
3,25,10.0,34.0,2.0,
3,26,12.0,34.0,2.0,
3,27,14.0,34.0,2.0,
3,28,16.0,34.0,2.0,
3,29,18.0,34.0,2.0,
3,30,20.0,34.0,2.0,
3,31,22.0,34.0,2.0,
3,32,24.0,34.0,2.0,
3,33,26.0,34.0,2.0,
3,34,28.0,34.0,2.0,
3,35,30.0,34.0,2.0,
3,36,32.0,34.0,2.0,
3,37,34.0,34.0,2.0,1
3,38,36.0,34.0,2.0,
3,39,38.0,34.0,2.0,
4,0,-40.0,32.0,2.0,
4,1,-38.0,32.0,2.0,
4,2,-36.0,32.0,2.0,
4,3,-34.0,32.0,2.0,
4,4,-32.0,32.0,2.0,
4,5,-30.0,32.0,2.0,
4,6,-28.0,32.0,2.0,
4,7,-26.0,32.0,2.0,
4,8,-24.0,32.0,2.0,
4,9,-22.0,32.0,2.0,
4,10,-20.0,32.0,2.0,
4,11,-18.0,32.0,2.0,
4,12,-16.0,32.0,2.0,
4,13,-14.0,32.0,2.0,
4,14,-12.0,32.0,2.0,
4,15,-10.0,32.0,2.0,
4,16,-8.0,32.0,2.0,
4,17,-6.0,32.0,2.0,
4,18,-4.0,32.0,2.0,
4,19,-2.0,32.0,2.0,
4,20,0.0,32.0,2.0,
4,21,2.0,32.0,2.0,
4,22,4.0,32.0,2.0,
4,23,6.0,32.0,2.0,
4,24,8.0,32.0,2.0,
4,25,10.0,32.0,2.0,
4,26,12.0,32.0,2.0,
4,27,14.0,32.0,2.0,
4,28,16.0,32.0,2.0,
4,29,18.0,32.0,2.0,
4,30,20.0,32.0,2.0,
4,31,22.0,32.0,2.0,
4,32,24.0,32.0,2.0,
4,33,26.0,32.0,2.0,
4,34,28.0,32.0,2.0,
4,35,30.0,32.0,2.0,
4,36,32.0,32.0,2.0,
4,37,34.0,32.0,2.0,2
4,38,36.0,32.0,2.0,
4,39,38.0,32.0,2.0,
5,0,-40.0,30.0,2.0,
5,1,-38.0,30.0,2.0,
5,2,-36.0,30.0,2.0,
5,3,-34.0,30.0,2.0,
5,4,-32.0,30.0,2.0,
5,5,-30.0,30.0,2.0,
5,6,-28.0,30.0,2.0,
5,7,-26.0,30.0,2.0,
5,8,-24.0,30.0,2.0,
5,9,-22.0,30.0,2.0,
5,10,-20.0,30.0,2.0,
5,11,-18.0,30.0,2.0,
5,12,-16.0,30.0,2.0,
5,13,-14.0,30.0,2.0,
5,14,-12.0,30.0,2.0,
5,15,-10.0,30.0,2.0,
5,16,-8.0,30.0,2.0,
5,17,-6.0,30.0,2.0,
5,18,-4.0,30.0,2.0,
5,19,-2.0,30.0,2.0,
5,20,0.0,30.0,2.0,
5,21,2.0,30.0,2.0,
5,22,4.0,30.0,2.0,
5,23,6.0,30.0,2.0,
